NAME,POSITION,LEAGUE,actual_eur_m,predicted_eur_m,gap_pct,base_value_log,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS,Age,CONTRACT_YEARS_LEFT,CLUB_STRENGTH,LEAGUE_Bundesliga,LEAGUE_La Liga,LEAGUE_Ligue 1,LEAGUE_Multi-league,LEAGUE_Premier League,LEAGUE_Serie A,POSITION_AM,POSITION_CB,POSITION_CM,POSITION_DM,POSITION_FB,POSITION_ST,POSITION_W
Borja Mayoral,ST,La Liga,6.0,4.264669505242774,-28.92217491262043,2.3183977603912354,0.003070058301091194,-0.12543311715126038,0.06343265622854233,0.004921795334666967,0.000735604960937053,0.008854926563799381,0.0005739633343182504,0.014189573936164379,0.04474930465221405,-0.037106581032276154,-0.0017114413203671575,0.013529098592698574,-0.02557651326060295,0.000867143040522933,0.03317151591181755,-0.000938796903938055,-0.0046769194304943085,0.00048045028233900666,-0.012925158254802227,0.00017260195454582572,-0.0007111862651072443,0.0011665289057418704,0.0006734400521963835,0.09355460852384567,-0.0019022042397409678,0.0021416121162474155,0.0010787845822051167,0.0036622839979827404,-0.002426676219329238,-0.0038795596919953823,-0.003305346705019474,-0.011020957492291927,-0.0038659379351884127,-0.010233907960355282,-0.0010872454149648547,0.011460605077445507,0.007017084863036871,0.00028729901532642543,0.0021230168640613556,0.001335121807642281,-0.1458730399608612,-0.02329922839999199,-0.476763516664505,1.31061797219445e-05,-0.04199698194861412,1.4223168363969307e-05,0.0,-0.04117068275809288,-0.00017164513701573014,-0.0012016547843813896,-0.00045227367081679404,0.00024872462381608784,0.0,0.006826300639659166,0.0,0.0
Boubacar Traoré,DM,Ligue 1,4.0,10.099477350819765,152.48693377049412,2.304319143295288,0.003942729439586401,-0.02100037783384323,-0.01200332585722208,-0.015988953411579132,0.0011920013930648565,0.007836669683456421,-0.007771055679768324,-0.005804546643048525,-0.010463743470609188,0.00952291488647461,-7.821461622370407e-05,0.005715064238756895,-0.00013985633268021047,-0.002150443848222494,0.01489653717726469,-0.00434437021613121,-0.0005607380298897624,-0.0033081406727433205,-0.00681551918387413,0.003204067936167121,-0.0021565943025052547,-0.010191628709435463,0.0008992364164441824,0.027576560154557228,-0.001830334891565144,0.0069061811082065105,-0.0008836574852466583,0.00012734931078739464,-0.00051040796097368,-0.0028174042236059904,-0.004243203438818455,-0.00572837283834815,0.01316482201218605,-0.005552159156650305,-0.03360111638903618,-0.004858890548348427,0.008664754219353199,0.011005641892552376,-0.004848753102123737,-0.012323138304054737,0.13230079412460327,-0.03584521636366844,0.07709252834320068,0.0,0.012923995032906532,0.0003595423768274486,0.0,-0.03782003000378609,0.0001828620006563142,-0.0002056219964288175,0.0,0.0,0.002681772457435727,0.016052963212132454,0.00017587080947123468,0.0
Boulaye Dia,ST,Serie A,5.0,6.921650879201753,38.433017584035056,2.3067269325256348,-0.005154372192919254,-0.08364160358905792,-0.014751015231013298,-0.0054679205641150475,-0.002139782765880227,0.0010326738702133298,0.014639106579124928,0.0029694191180169582,0.017384253442287445,-0.02505338191986084,-0.007724451366811991,0.0018935768166556954,-0.003376929322257638,-0.01802954636514187,0.024029217660427094,-0.00022572779562324286,-0.0017179284477606416,-0.0005161493318155408,-0.009683113545179367,0.0013792442623525858,-0.00459639448672533,0.0026260889135301113,0.0008322110516019166,-0.010197969153523445,1.0596162610454485e-05,-0.0005148615455254912,-0.0013679862022399902,0.0022777123376727104,-0.0009135656873695552,-0.007123918738216162,0.0010014319559559226,-0.00792889203876257,-0.002971346490085125,-0.01164762768894434,-0.018721245229244232,0.017779113724827766,0.014904536306858063,0.002070730086416006,0.0002758915943559259,-0.006252042483538389,-0.14603151381015778,-0.02438691444694996,0.08261162787675858,0.0002053389180218801,0.017707420513033867,4.532056482275948e-05,0.0,-0.03762147203087807,0.0003779022954404354,-4.683807856054045e-05,0.0,5.2279156079748645e-05,-0.0004572548496071249,0.014971603639423847,0.0,5.814754331368022e-05
Bradley Locko,FB,Ligue 1,6.0,3.3670395497386476,-43.88267417102254,2.3067269325256348,0.004533667117357254,-0.059620123356580734,-0.01882489211857319,-0.03278763219714165,-0.0006953682750463486,-0.019960930570960045,-0.012180733494460583,-0.012235473841428757,-0.0017006431007757783,-0.0076614865101873875,-0.0010624428978189826,0.0038943826220929623,-0.0004923853557556868,0.00040100282058119774,-0.03580376133322716,0.00021978432778269053,-0.002686107764020562,-0.0006348504102788866,0.015202827751636505,-0.0015622274950146675,-0.0006674493779428303,-0.001812400296330452,0.002335240365937352,-0.012250940315425396,0.0001927921111928299,-0.0008910131291486323,0.003948195371776819,0.0038005090318620205,-0.0007311854278668761,-0.0053020319901406765,-0.014729131013154984,-0.01147198211401701,-0.010239506140351295,-0.021366724744439125,-0.0185242909938097,-0.018058158457279205,-0.01267971284687519,0.0003667070996016264,-0.0022784091997891665,-0.0039798966608941555,0.13696125149726868,-0.013231965713202953,-0.5547742247581482,0.00029111222829669714,0.015900319442152977,-0.0002223978517577052,0.0,-0.047052521258592606,-0.00013916418538428843,-0.00045739460620097816,0.0,8.352939039468765e-05,-0.0001358761073788628,-0.06196665018796921,0.0,0.00010047497926279902
Brahim Díaz,W,La Liga,35.0,19.907171411313453,-43.12236739624728,2.3067269325256348,-0.006303979083895683,-0.09137042611837387,-0.010712391696870327,0.004922428634017706,-0.0008112090872600675,0.00547102140262723,0.014940168708562851,0.0026171570643782616,0.013072751462459564,0.0026505165733397007,0.010700980201363564,0.003503127722069621,-0.001069482765160501,0.002404813887551427,-0.008520405739545822,-0.0008122670697048306,0.0010185374412685633,-0.0014071785844862461,0.047575443983078,-0.0003215336473658681,-0.003776895347982645,-0.00322629208676517,-0.0019586202688515186,0.022037263959646225,-0.0016041441122069955,0.00017267890507355332,-0.0021775085479021072,-0.001978608313947916,-0.00164322042837739,-0.011569224298000336,-0.007490180898457766,-0.010015321895480156,0.013274768367409706,0.04953829571604729,0.037836506962776184,0.0175671074539423,-0.003156735561788082,0.001962456153705716,5.177562707103789e-05,0.026649251580238342,0.06828278303146362,-0.02913905680179596,0.6987916827201843,0.00016111858712974936,-0.0773935616016388,4.532056482275948e-05,0.0,-0.04274146258831024,-0.00013916418538428843,-0.00011580310820136219,0.0,0.0012774739880114794,-0.0008590905927121639,0.007359262090176344,0.0,-0.00020615942776203156
Brais Méndez,AM,La Liga,8.0,5.35634602366041,-33.045674704244874,2.3067269325256348,-0.0021574744023382664,0.0024423408322036266,0.053712062537670135,0.052692513912916183,0.0006554965511895716,0.008970771916210651,0.013867249712347984,0.004679158795624971,0.012318959459662437,-0.016363831236958504,-0.001365617266856134,0.00950462743639946,-0.005211011040955782,-0.0022831393871456385,0.029262246564030647,0.00047148228622972965,0.014588996767997742,-0.0010256771929562092,0.0026213042438030243,0.0010661287233233452,-0.003914658911526203,-0.001838788390159607,0.0045740120112895966,0.024575717747211456,-0.0018717152997851372,0.001733814598992467,-0.0012570255203172565,0.012775096110999584,0.002286334754899144,0.02277185209095478,-9.623056394048035e-05,0.0006123990751802921,-0.0032347715459764004,0.027269748970866203,0.03799019008874893,0.010954858735203743,-0.004663091618567705,-0.0038346992805600166,0.002538104308769107,0.02480904571712017,-0.16531366109848022,-0.020947426557540894,-0.5046290159225464,0.00024689192650839686,-0.06600072234869003,0.00019469342078082263,0.0,-0.041558291763067245,-0.00013916418538428843,0.0010686374735087156,0.0,5.2279156079748645e-05,-0.00011564827582333237,0.009141482412815094,0.0,0.00010047497926279902
Branco van den Boomen,CM,Ligue 1,2.5,4.021800252876161,60.87201011504643,2.2959134578704834,0.013032902963459492,-0.024595463648438454,-0.017198903486132622,-0.01648053154349327,-0.007094261236488819,-0.004708461929112673,0.003569501219317317,-0.006735973991453648,0.000909432303160429,0.044555023312568665,0.004088362213224173,0.007081788498908281,-0.0007855625008232892,0.0012531591346487403,0.0037943467032164335,-0.006077762693166733,-0.0033468331675976515,0.00816856138408184,-0.011049056425690651,-0.002182580530643463,-0.0015545967034995556,0.01524306833744049,0.0006339772953651845,-0.002909609116613865,0.0002732881985139102,-0.0006822391878813505,-0.002076271688565612,0.0005829777801409364,-0.0008863993571139872,-0.004608670715242624,-0.003298932919278741,-0.007500057574361563,0.014058482833206654,0.019192853942513466,0.05887748301029205,0.017133809626102448,-0.01625569351017475,-0.0005701404297724366,0.004540750756859779,-0.007691655773669481,-0.3011901080608368,-0.01681290566921234,-0.41196560859680176,-7.985971751622856e-05,0.008424441330134869,0.001995039638131857,0.0,-0.03215029090642929,0.0,-0.0005076554953120649,-0.00037690537283197045,-0.0031919393222779036,-8.573863306082785e-05,0.004804984666407108,3.744673449546099e-05,0.00027331148157827556
Breel Embolo,ST,Ligue 1,15.0,7.137412569554343,-52.417249536304375,2.3183977603912354,0.0012617317261174321,0.02910425513982773,0.1132604107260704,0.12718741595745087,0.003995190840214491,0.014356311410665512,0.015642521902918816,0.006073985248804092,0.05271761864423752,-0.022716252133250237,-0.0018158059101551771,0.01105383038520813,-0.0022966815158724785,-0.007267634849995375,0.02467208355665207,-0.002021200256422162,0.01059181522578001,-0.008726611733436584,0.05419791489839554,-9.96024755295366e-05,-0.0016350767109543085,0.0014804175589233637,0.00011001204256899655,0.0412709042429924,0.0003119801986031234,0.0013453708961606026,-0.0022488536778837442,0.010553853586316109,-1.6859325114637613e-05,-0.0002126671897713095,0.0026039988733828068,-0.009462918154895306,-0.004029420204460621,-0.016152692958712578,-0.016745014116168022,-0.020426450297236443,0.01585671305656433,0.005013671703636646,0.004509658552706242,-0.0003849451895803213,-0.13029803335666656,0.046784285455942154,-0.5411224365234375,1.31061797219445e-05,0.010630995966494083,-0.00017735142318997532,0.0,-0.04324662685394287,-0.00017164513701573014,-0.0012188877444714308,-0.0008288361132144928,0.0006136546144261956,0.0,0.00618301797658205,0.0,0.0
Bremer,CB,Serie A,35.0,20.3713512016344,-41.796139423901714,2.3067269325256348,0.004916935693472624,0.09518197178840637,-0.002132865134626627,0.0044829947873950005,-0.001446874812245369,0.001725900685414672,0.01261846348643303,0.002683319617062807,0.011552086099982262,0.030030155554413795,0.014093601144850254,0.003425231436267495,-0.0026563506107777357,0.0005294011789374053,0.021225837990641594,-0.002577985404059291,-0.0013063804944977164,0.0017016642959788442,0.0012028588680550456,-0.00025104981614276767,0.0011793294688686728,0.001646747114136815,0.0007705087191425264,-0.005718298256397247,0.0005658416775986552,0.0017809949349611998,-0.004807564429938793,0.0014668074436485767,0.0029821391217410564,-0.0027726972475647926,0.0032982327975332737,0.0023758821189403534,0.01302426215261221,-0.0124819902703166,-0.01725778356194496,0.01646105758845806,0.006772959604859352,0.001497153309173882,-0.0006110736285336316,-0.006811410654336214,-0.0924445316195488,-0.01824052445590496,0.6767266988754272,0.00029111222829669714,0.013993998989462852,4.532056482275948e-05,0.0,-0.03491315245628357,0.0003779022954404354,-4.683807856054045e-05,0.0,5.8639350754674524e-05,-0.00044690765207633376,0.011505805887281895,0.0,5.814754331368022e-05
Brendan Chardonnet,CB,Ligue 1,4.0,3.1146136437762557,-22.134658905593607,2.304319143295288,-0.0018364482093602419,0.13355711102485657,-0.01478523202240467,-0.01566486991941929,0.002240728819742799,-0.015047840774059296,-0.005564772058278322,-0.0022525170352309942,-0.005589504726231098,-0.011162115260958672,-0.0015301202656701207,0.0009595990995876491,-0.0010873099090531468,0.003258709330111742,0.0190830547362566,0.0027393409982323647,-0.0006338500534184277,-0.0034468474332243204,-0.011446608230471611,-0.00291578471660614,-0.0008487034356221557,0.0027927213814109564,-0.0013042690698057413,-0.029418209567666054,0.005406194366514683,-0.0026494006160646677,0.0008248377125710249,0.0033609222155064344,0.011508766561746597,0.011237560771405697,-0.006900552194565535,-0.004054258111864328,-0.004149336367845535,-0.00600081542506814,-0.03268848732113838,-0.020329272374510765,0.008019719272851944,-0.008737672120332718,-0.010312805883586407,-0.004572258796542883,-0.3812815845012665,-0.03566389158368111,-0.44191014766693115,0.0,0.011508921161293983,0.0018734801560640335,0.0,-0.03494255617260933,5.116029205964878e-05,-0.00033870807965286076,0.0,0.0,-0.0002960248093586415,0.011092087253928185,7.362090400420129e-05,0.0
