CLUB,STATUS,MATCHED_NAME,LEAGUE,SQUAD_MARKET_VALUE_M_EUR,CLUB_URL
Sheffield United,OK,Sheffield United,Championship,112.25,https://www.transfermarkt.com/sheffield-united/startseite/verein/350
Sociedade Esportiva Palmeiras,OK,Sociedade Esportiva Palmeiras,Campeonato Brasileiro Série A,209.48,https://www.transfermarkt.com/se-palmeiras-sao-paulo/startseite/verein/1023
Southampton FC,OK,Southampton FC,Championship,148.3,https://www.transfermarkt.com/fc-southampton/startseite/verein/180
Spartak Moscow,OK,Spartak Moscow,Premier Liga,127.6,https://www.transfermarkt.com/spartak-moskau/startseite/verein/232
Sport Club Internacional,OK,Sport Club Internacional,Campeonato Brasileiro Série A,75.5,https://www.transfermarkt.com/sc-internacional-porto-alegre/startseite/verein/6600
Sporting CP,OK,Sporting CP,Liga Portugal,378.7,https://www.transfermarkt.com/sporting-lissabon/startseite/verein/336
St. Louis CITY SC,OK,St. Louis CITY SC,Major League Soccer,44.4,https://www.transfermarkt.com/st-louis-city-sc/startseite/verein/82686
Stade Lavallois,OK,Stade Lavallois,Ligue 2,8.98,https://www.transfermarkt.com/stade-laval/startseite/verein/1080
Stade Reims,OK,Stade Reims,Ligue 2,51.9,https://www.transfermarkt.com/stade-reims/startseite/verein/1421
Stoke City,OK,Stoke City,Championship,97.15,https://www.transfermarkt.com/stoke-city/startseite/verein/512
Swansea City,OK,Swansea City,Championship,108.13,https://www.transfermarkt.com/swansea-city/startseite/verein/2288
Swehly SC,OK,Swehly SC,Libyan Premier League,10.23,https://www.transfermarkt.com/asswehly-sports-club/startseite/verein/38559
São Paulo Futebol Clube,OK,São Paulo Futebol Clube,Campeonato Brasileiro Série A,84.3,https://www.transfermarkt.com/fc-sao-paulo/startseite/verein/585
Toronto FC,OK,Toronto FC,Major League Soccer,47.45,https://www.transfermarkt.com/toronto-fc/startseite/verein/11141
Trabzonspor,OK,Trabzonspor,Süper Lig,185.8,https://www.transfermarkt.com/trabzonspor/startseite/verein/449
UC Sampdoria,OK,UC Sampdoria,Serie B,44.55,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038
UD Almería,OK,UD Almería,LaLiga2,59.1,https://www.transfermarkt.com/ud-almeria/startseite/verein/3302
UD Las Palmas,OK,UD Las Palmas,LaLiga2,29.7,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472
US Avellino 1912,OK,US Avellino 1912,Serie B,28.75,https://www.transfermarkt.com/us-avellino-1912/startseite/verein/2331
US Cremonese,OK,US Cremonese,Serie B,49.75,https://www.transfermarkt.com/us-cremonese/startseite/verein/2239
Vancouver Whitecaps FC,OK,Vancouver Whitecaps FC,Major League Soccer,60.9,https://www.transfermarkt.com/vancouver-whitecaps-fc/startseite/verein/6321
VfL Bochum,OK,VfL Bochum,2. Bundesliga,24.88,https://www.transfermarkt.com/vfl-bochum/startseite/verein/80
VfL Osnabrück,OK,VfL Osnabrück,2. Bundesliga,12.15,https://www.transfermarkt.com/vfl-osnabruck/startseite/verein/81
VfL Wolfsburg,OK,VfL Wolfsburg,2. Bundesliga,111.9,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82
Volos FC,OK,Volos FC,Super League 1,15.08,https://www.transfermarkt.com/volos-nps/startseite/verein/60949
Watford FC,OK,Watford FC,Championship,82.8,https://www.transfermarkt.com/fc-watford/startseite/verein/1010
West Bromwich Albion,OK,West Bromwich Albion,Championship,57.85,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984
West Ham United,OK,West Ham United,Championship,267.5,https://www.transfermarkt.com/west-ham-united/startseite/verein/379
Wolverhampton Wanderers,OK,Wolverhampton Wanderers,Championship,242.45,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543
Wrexham AFC,OK,Wrexham AFC,Championship,94.5,https://www.transfermarkt.com/afc-wrexham/startseite/verein/1112
FK Bodø/Glimt,OK,FK Bodø/Glimt,Eliteserien,79.18,https://www.transfermarkt.com/fk-bodo-glimt/startseite/verein/501
CF Montréal,OK,CF Montréal,Major League Soccer,34.23,https://www.transfermarkt.com/club-de-foot-montreal/startseite/verein/4078
Club Atlético Belgrano,OK,Club Atlético Belgrano,Torneo Clausura,27.63,https://www.transfermarkt.com/ca-belgrano/startseite/verein/2417
Karlsruher SC,OK,Karlsruher SC,2. Bundesliga,32.83,https://www.transfermarkt.com/karlsruher-sc/startseite/verein/48
Marko FC,OK,Marko FC,Super League 2,4.58,https://www.transfermarkt.com/gs-marko/startseite/verein/4001
