CLUB,STATUS,MATCHED_NAME,LEAGUE,SQUAD_MARKET_VALUE_M_EUR,CLUB_URL
Birmingham City,OK,Birmingham City,Championship,98.25,https://www.transfermarkt.com/birmingham-city/startseite/verein/337
Botafogo de Futebol e Regatas,OK,Botafogo de Futebol e Regatas,Campeonato Brasileiro Série A,117.1,https://www.transfermarkt.com/botafogo-rio-de-janeiro/startseite/verein/537
Burgos CF,OK,Burgos CF,LaLiga2,20.65,https://www.transfermarkt.com/burgos-cf/startseite/verein/1536
Buriram United,OK,Buriram United,Thai League,13.1,https://www.transfermarkt.com/buriram-united/startseite/verein/25449
Burnley FC,OK,Burnley FC,Championship,147.8,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132
CA River Plate,OK,CA River Plate,Torneo Clausura,124.5,https://www.transfermarkt.com/club-atletico-river-plate/startseite/verein/209
CD Castellón,OK,CD Castellón,LaLiga2,25.35,https://www.transfermarkt.com/cd-castellon/startseite/verein/2502
CD Leganés,OK,CD Leganés,LaLiga2,31.9,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244
CF América,OK,CF América,Liga MX Apertura,123.1,https://www.transfermarkt.com/cf-america/startseite/verein/3631
CF Pachuca,OK,CF Pachuca,Liga MX Apertura,40.1,https://www.transfermarkt.com/cf-pachuca/startseite/verein/4035
CR Flamengo,OK,CR Flamengo,Campeonato Brasileiro Série A,208.75,https://www.transfermarkt.com/flamengo-rio-de-janeiro/startseite/verein/614
CSKA Sofia,OK,CSKA Sofia,efbet Liga,26.83,https://www.transfermarkt.com/zska-sofia/startseite/verein/208
Caykur Rizespor,OK,Caykur Rizespor,Süper Lig,48.0,https://www.transfermarkt.com/caykur-rizespor/startseite/verein/126
Celtic FC,OK,Celtic FC,Scottish Premiership,118.4,https://www.transfermarkt.com/celtic-glasgow/startseite/verein/371
Cerezo Osaka,OK,Cerezo Osaka,J1 League,15.4,https://www.transfermarkt.com/cerezo-osaka/startseite/verein/1022
Chicago Fire FC,OK,Chicago Fire FC,Major League Soccer,53.5,https://www.transfermarkt.com/chicago-fire-fc/startseite/verein/432
Club Brugge KV,OK,Club Brugge KV,Jupiler Pro League,199.0,https://www.transfermarkt.com/fc-brugge/startseite/verein/2282
Club León FC,OK,Club León FC,Liga MX Apertura,46.1,https://www.transfermarkt.com/club-leon-fc/startseite/verein/4941
Columbus Crew,OK,Columbus Crew,Major League Soccer,61.08,https://www.transfermarkt.com/columbus-crew-sc/startseite/verein/813
Coritiba Foot Ball Club,OK,Coritiba Foot Ball Club,Campeonato Brasileiro Série A,45.35,https://www.transfermarkt.com/coritiba-fc/startseite/verein/776
Corum FK,OK,Corum FK,Süper Lig,67.25,https://www.transfermarkt.com/corum-fk/startseite/verein/37951
Cádiz CF,OK,Cádiz CF,LaLiga2,29.45,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687
Deportivo Toluca,OK,Deportivo Toluca,Liga MX Apertura,92.5,https://www.transfermarkt.com/deportivo-toluca/startseite/verein/1804
Derby County,OK,Derby County,Championship,71.1,https://www.transfermarkt.com/derby-county/startseite/verein/22
Dynamo Moscow,OK,Dynamo Moscow,Premier Liga,115.2,https://www.transfermarkt.com/dinamo-moskau/startseite/verein/121
Erzurumspor FK,OK,Erzurumspor FK,Süper Lig,26.88,https://www.transfermarkt.com/buyuksehir-belediye-erzurumspor/startseite/verein/39722
FC Basel 1893,OK,FC Basel 1893,Super League,48.3,https://www.transfermarkt.com/fc-basel-1893/startseite/verein/26
FC Cincinnati,OK,FC Cincinnati,Major League Soccer,65.65,https://www.transfermarkt.com/fc-cincinnati/startseite/verein/51772
FC Energie Cottbus,OK,FC Energie Cottbus,2. Bundesliga,11.15,https://www.transfermarkt.com/fc-energie-cottbus/startseite/verein/25
FC Groningen,OK,FC Groningen,Eredivisie,34.65,https://www.transfermarkt.com/fc-groningen/startseite/verein/202
FC Lausanne-Sport,OK,FC Lausanne-Sport,Super League,32.23,https://www.transfermarkt.com/fc-lausanne-sport/startseite/verein/527
FC Metz,OK,FC Metz,Ligue 2,38.85,https://www.transfermarkt.com/fc-metz/startseite/verein/347
FC Nantes,OK,FC Nantes,Ligue 2,76.98,https://www.transfermarkt.com/fc-nantes/startseite/verein/995
FC Porto,OK,FC Porto,Liga Portugal,464.8,https://www.transfermarkt.com/fc-porto/startseite/verein/720
FC Rapid 1923,OK,FC Rapid 1923,SuperLiga,29.2,https://www.transfermarkt.com/fc-rapid-1923/startseite/verein/455
FC St. Pauli,OK,FC St. Pauli,2. Bundesliga,48.43,https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35
FC Viktoria Plzen,OK,FC Viktoria Plzen,Chance Liga,63.1,https://www.transfermarkt.com/fc-viktoria-pilsen/startseite/verein/941
Fenerbahce,OK,Fenerbahce,Süper Lig,280.7,https://www.transfermarkt.com/fenerbahce-istanbul/startseite/verein/36
Feyenoord Rotterdam,OK,Feyenoord Rotterdam,Eredivisie,210.73,https://www.transfermarkt.com/feyenoord-rotterdam/startseite/verein/234
Galatasaray,OK,Galatasaray,Süper Lig,411.6,https://www.transfermarkt.com/galatasaray-istanbul/startseite/verein/141
Genclerbirligi Ankara,OK,Genclerbirligi Ankara,Süper Lig,28.85,https://www.transfermarkt.com/genclerbirligi-ankara/startseite/verein/820
Girona FC,OK,Girona FC,LaLiga2,68.6,https://www.transfermarkt.com/fc-girona/startseite/verein/12321
Granada CF,OK,Granada CF,LaLiga2,15.65,https://www.transfermarkt.com/fc-granada/startseite/verein/16795
Górnik Zabrze,OK,Górnik Zabrze,PKO BP Ekstraklasa,31.45,https://www.transfermarkt.com/gornik-zabrze/startseite/verein/428
HNK Hajduk Split,OK,HNK Hajduk Split,SuperSport HNL,28.23,https://www.transfermarkt.com/hnk-hajduk-split/startseite/verein/447
Hellas Verona,OK,Hellas Verona,Serie B,47.83,https://www.transfermarkt.com/hellas-verona/startseite/verein/276
