NAME,LEAGUE,STATUS,MATCH_METHOD,MATCHED_NAME,MATCHED_CLUB,TM_MARKET_VALUE_M_EUR,AGE,POSITION,POSITION_RAW,CONTRACT_EXPIRY,PROFILE_URL
Ademola Lookman,La Liga / Serie A,OK,league,Ademola Lookman,Atlético de Madrid,40.0,28,W,Left Winger,2030,https://www.transfermarkt.com/ademola-lookman/profil/spieler/406040
Adrian Beck,Bundesliga,OK,unique_name,Adrian Beck,VfL Osnabrück,1.5,29,AM,Attacking Midfield,2027,https://www.transfermarkt.com/adrian-beck/profil/spieler/273669
Adrian Benedyczak,Serie A,OK,unique_name,Adrian Benedyczak,Kasimpasa,5.0,25,ST,Centre-Forward,2030,https://www.transfermarkt.com/adrian-benedyczak/profil/spieler/454386
Adrien Rabiot,Serie A,OK,league,Adrien Rabiot,AC Milan,18.0,31,CM,Central Midfield,2028,https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913
Adrien Tamèze,Serie A,OK,unique_name,Adrien Tamèze,Without Club,1.2,32,DM,Defensive Midfield,,https://www.transfermarkt.com/adrien-tameze/profil/spieler/157507
Adrien Thomasson,Ligue 1,OK,league,Adrien Thomasson,Stade Rennais FC,4.0,32,CM,Central Midfield,2029,https://www.transfermarkt.com/adrien-thomasson/profil/spieler/215977
Adrià Pedrosa,La Liga,OK,league,Adrià Pedrosa,Rayo Vallecano,2.8,28,FB,Left-Back,2027,https://www.transfermarkt.com/adria-pedrosa/profil/spieler/501418
Adrián Bernabé,Serie A,OK,league,Adrián Bernabé,Parma Calcio 1913,15.0,25,CM,Central Midfield,2027,https://www.transfermarkt.com/adrian-bernabe/profil/spieler/466802
Adrián Liso,La Liga,OK,league,Adrián Liso,RCD Mallorca,3.0,21,W,Left Winger,2027,https://www.transfermarkt.com/adrian-liso/profil/spieler/1061122
Adrián de la Fuente,La Liga,NEEDS_REVIEW,,Adrián Dela,Levante UD,4.0,,,,,
Aihen Muñoz,La Liga,OK,league,Aihen Muñoz,Real Sociedad,2.5,29,FB,Left-Back,2027,https://www.transfermarkt.com/aihen-munoz/profil/spieler/517842
Aimar Oroz,La Liga,OK,league,Aimar Oroz,CA Osasuna,7.5,24,AM,Attacking Midfield,2029,https://www.transfermarkt.com/aimar-oroz/profil/spieler/634131
Ainsley Maitland-Niles,Ligue 1,OK,unique_name,Ainsley Maitland-Niles,Everton FC,10.0,29,FB,Right-Back,2029,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
Aitor Paredes,La Liga,OK,league,Aitor Paredes,Athletic Bilbao,7.5,26,CB,Centre-Back,2029,https://www.transfermarkt.com/aitor-paredes/profil/spieler/591916
Aitor Ruibal,La Liga,OK,league,Aitor Ruibal,Real Betis Balompié,4.0,30,W,Right Winger,2028,https://www.transfermarkt.com/aitor-ruibal/profil/spieler/378139
Aiyegun Tosin,Ligue 1,OK,league,Aiyegun Tosin,FC Lorient,1.8,28,ST,Centre-Forward,2027,https://www.transfermarkt.com/aiyegun-tosin/profil/spieler/239647
Akor Adams,La Liga,OK,unique_name,Akor Adams,Venezia FC,15.0,26,ST,Centre-Forward,2030,https://www.transfermarkt.com/akor-adams/profil/spieler/607034
Al Musrati,Serie A,NEEDS_REVIEW,,Moatasem Al-Musrati,Without Club,4.5,,,,,
Aladji Bamba,Ligue 1,OK,unique_name,Aladji Bamba,Newcastle United,18.0,20,DM,Defensive Midfield,2031,https://www.transfermarkt.com/aladji-bamba/profil/spieler/975347
Alan Matturro,La Liga,OK,unique_name,Alan Matturro,Shakhtar Donetsk,4.0,21,CB,Centre-Back,2031,https://www.transfermarkt.com/alan-matturro/profil/spieler/861981
Albert Grønbæk,Bundesliga,NOT_FOUND,,,,,,,,,
Albert Gudmundsson,Serie A,OK,league,Albert Gudmundsson,SS Lazio,12.0,29,ST,Second Striker,2027,https://www.transfermarkt.com/albert-gudmundsson/profil/spieler/305947
Albert Sambi Lokonga,Bundesliga,OK,league,Albert Sambi Lokonga,Hamburger SV,12.0,26,CM,Central Midfield,2028,https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967
Alberto Dossena,Serie A,OK,league,Alberto Dossena,Como 1907,6.0,27,CB,Centre-Back,2028,https://www.transfermarkt.com/alberto-dossena/profil/spieler/385394
Alberto Grassi,Serie A,OK,league,Alberto Grassi,US Cremonese,1.4,31,DM,Defensive Midfield,2028,https://www.transfermarkt.com/alberto-grassi/profil/spieler/197473
Alberto Moreno,Serie A,NEEDS_REVIEW,,Alberto Moreno,CD Coria,150.0,,,,,
Alberto Reina,La Liga,OK,league,Alberto Reina,Real Oviedo,2.0,28,CM,Central Midfield,2027,https://www.transfermarkt.com/alberto-reina/profil/spieler/603696
Aleix Febas,La Liga,OK,league,Aleix Febas,Celta de Vigo,5.0,30,CM,Central Midfield,2029,https://www.transfermarkt.com/aleix-febas/profil/spieler/217144
Alejandro Catena,La Liga,OK,league,Alejandro Catena,CA Osasuna,2.6,31,CB,Centre-Back,2028,https://www.transfermarkt.com/alejandro-catena/profil/spieler/449796
Alejandro Francés,La Liga,OK,league,Alejandro Francés,Girona FC,3.0,24,CB,Centre-Back,2029,https://www.transfermarkt.com/alejandro-frances/profil/spieler/632896
Alejandro Garnacho,Premier League,OK,league,Alejandro Garnacho,Aston Villa,28.0,22,W,Left Winger,2027,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779
Alejandro Rego,La Liga,OK,league,Alejandro Rego,Athletic Bilbao,5.0,23,CM,Central Midfield,2030,https://www.transfermarkt.com/alejandro-rego/profil/spieler/834491
Aleksandr Golovin,Ligue 1,OK,league,Aleksandr Golovin,AS Monaco,18.0,30,AM,Attacking Midfield,2029,https://www.transfermarkt.com/aleksandr-golovin/profil/spieler/263918
Alemão,La Liga,OK,league,Alemão,Rayo Vallecano,4.0,28,ST,Centre-Forward,2030,https://www.transfermarkt.com/alemao/profil/spieler/560417
Alessandro Circati,Serie A,OK,unique_name,Alessandro Circati,SL Benfica,18.0,22,CB,Centre-Back,2031,https://www.transfermarkt.com/alessandro-circati/profil/spieler/867137
Alessandro Deiola,Serie A,OK,league,Alessandro Deiola,Cagliari Calcio,1.5,31,CM,Central Midfield,2029,https://www.transfermarkt.com/alessandro-deiola/profil/spieler/235931
Alessandro Marcandalli,Serie A,OK,league,Alessandro Marcandalli,Genoa CFC,14.0,23,CB,Centre-Back,2029,https://www.transfermarkt.com/alessandro-marcandalli/profil/spieler/818448
Alessandro Zanoli,Serie A,OK,league,Alessandro Zanoli,Udinese Calcio,4.5,25,FB,Right-Back,2029,https://www.transfermarkt.com/alessandro-zanoli/profil/spieler/397225
Alessio Castro-Montes,Bundesliga,OK,league,Alessio Castro-Montes,1.FC Köln,2.5,29,FB,Right-Back,2028,https://www.transfermarkt.com/alessio-castro-montes/profil/spieler/340166
Alessio Romagnoli,Serie A,OK,unique_name,Alessio Romagnoli,Al-Sadd SC,6.0,31,CB,Centre-Back,2029,https://www.transfermarkt.com/alessio-romagnoli/profil/spieler/197747
